order_id,customer_id,product_id,quantity,unit_price,total,order_date,shipped
1,3,20,8,291.56,2332.48,2025-05-19,1
2,17,7,19,263.78,5011.82,2025-11-11,false
3,43,21,9,200.91,1808.19,2025-11-10,true
4,37,4,1,231.85,231.85,2026-01-01,1
5,23,29,9,70.57,635.13,2025-12-16,yes
6,35,23,10,83.08,830.80,2025-05-21,1
7,36,10,1,335.59,335.59,2026-02-26,false
8,7,24,9,62.14,559.26,2025-12-02,yes
9,22,7,20,109.26,2185.20,2025-12-06,1
10,4,3,16,129.31,2068.96,2025-11-30,true
11,9,21,1,170.11,170.11,2026-01-28,0
12,28,18,15,278.08,4171.20,2026-03-13,0
13,24,19,5,275.07,1375.35,2025-09-12,false
14,3,29,2,157.59,315.18,2025-05-06,false
15,36,29,4,180.07,720.28,2025-06-07,0
16,16,28,5,463.25,2316.25,2026-01-20,no
17,22,26,1,93.78,93.78,2025-05-13,0
18,45,4,8,137.07,1096.56,2026-04-01,no
19,30,12,8,103.79,830.32,2025-12-25,false
20,26,11,1,331.72,331.72,2026-03-16,yes
21,26,22,12,322.53,3870.36,2025-07-20,yes
22,17,6,1,62.09,62.09,2025-12-06,true
23,23,24,4,300.30,1201.20,2025-09-09,1
24,37,7,17,62.24,1058.08,2025-04-23,no
25,35,22,1,262.36,262.36,2025-04-06,0
26,5,22,7,185.29,1297.03,2025-06-05,yes
27,20,17,4,361.28,1445.12,2025-09-23,yes
28,36,5,13,350.12,4551.56,2025-05-15,no
29,20,13,6,309.68,1858.08,2026-04-20,yes
30,38,20,10,109.04,1090.40,2025-08-25,no
31,33,16,15,339.44,5091.60,2025-04-09,false
32,43,21,3,145.47,436.41,2026-03-04,false
33,13,5,10,116.2,1162.00,2025-12-16,no
34,5,15,20,425.62,8512.40,2025-06-02,1
35,25,16,7,360.58,2524.06,2026-02-04,0
36,50,29,1,446.87,446.87,2025-09-15,false
37,45,17,6,403.03,2418.18,2025-07-09,false
38,30,22,4,230.95,923.80,2025-07-08,1
39,29,20,11,475.27,5227.97,2025-08-05,no
40,11,24,18,225.73,4063.14,2025-09-02,yes
41,18,25,8,420.73,3365.84,2025-08-15,0
42,5,23,8,140.93,1127.44,2025-12-02,yes
43,6,5,11,447.05,4917.55,2025-10-06,0
44,5,14,5,354.68,1773.40,2025-07-17,no
45,27,13,14,35.82,501.48,2025-06-25,0
46,49,19,1,429.08,429.08,2026-04-17,yes
47,27,18,10,377.97,3779.70,2025-07-15,1
48,18,14,8,246.67,1973.36,2025-10-03,yes
49,30,30,13,363.47,4725.11,2025-06-06,1
50,38,19,1,453.93,453.93,2026-03-09,0
51,30,6,14,72.17,1010.38,2025-10-08,yes
52,22,25,7,230.08,1610.56,2025-11-29,no
53,31,1,9,418.28,3764.52,2026-03-25,yes
54,50,21,8,326.82,2614.56,2026-04-05,false
55,40,5,7,420.42,2942.94,2025-08-21,0
56,14,15,4,284.16,1136.64,2025-03-24,yes
57,48,23,6,304.92,1829.52,2026-01-27,yes
58,20,19,4,291.45,1165.80,2025-10-10,no
59,45,27,7,42.62,298.34,2026-02-27,0
60,39,26,10,425.9,4259.00,2025-07-05,true
61,43,12,12,268.71,3224.52,2025-05-24,yes
62,32,4,1,425.54,425.54,2025-10-17,0
63,28,6,15,355.12,5326.80,2025-05-22,yes
64,35,25,20,405.06,8101.20,2025-09-09,0
65,16,27,19,137.86,2619.34,2025-11-29,no
66,37,20,8,376.49,3011.92,2025-10-30,true
67,12,16,16,426.22,6819.52,2025-12-09,yes
68,45,29,9,440.76,3966.84,2026-04-15,1
69,47,14,7,47.38,331.66,2025-03-28,false
70,32,15,16,324.72,5195.52,2026-03-04,yes
71,16,10,8,205.18,1641.44,2025-10-14,no
72,28,24,18,267.81,4820.58,2025-10-22,0
73,17,8,15,139.1,2086.50,2026-01-12,yes
74,49,23,4,372.73,1490.92,2025-12-31,0
75,38,25,16,141.87,2269.92,2025-11-27,true
76,24,6,7,151.64,1061.48,2025-04-23,1
77,4,18,5,140.78,703.90,2026-02-15,0
78,1,19,16,55.78,892.48,2025-08-18,no
79,4,9,11,96.26,1058.86,2025-08-19,true
80,5,19,3,203.35,610.05,2026-03-24,false
81,20,3,5,406.52,2032.60,2026-02-19,1
82,40,8,14,305.13,4271.82,2025-10-08,no
83,38,14,15,152.19,2282.85,2025-06-07,true
84,7,25,20,480.25,9605.00,2026-01-02,yes
85,12,18,3,82.74,248.22,2026-04-19,no
86,31,10,15,346.24,5193.60,2025-11-24,0
87,30,3,10,352.98,3529.80,2025-12-06,0
88,13,14,19,332.29,6313.51,2025-12-26,0
89,10,3,5,454.66,2273.30,2025-11-14,1
90,29,4,19,460.99,8758.81,2025-11-16,0
91,33,18,13,471.62,6131.06,2026-03-10,1
92,48,11,2,445.26,890.52,2026-04-07,true
93,37,19,8,481.15,3849.20,2025-03-25,0
94,49,25,9,290.24,2612.16,2025-07-29,0
95,12,19,15,458.46,6876.90,2025-08-12,true
96,22,11,16,177.24,2835.84,2026-01-28,yes
97,19,22,14,348.37,4877.18,2025-03-27,1
98,21,9,2,230.14,460.28,2025-03-21,no
99,1,22,17,413.34,7026.78,2025-08-27,no
100,24,20,2,97.85,195.70,2025-06-04,no
101,36,5,2,105.76,211.52,2025-09-08,0
102,41,20,16,65.11,1041.76,2025-04-22,false
103,36,14,10,277.67,2776.70,2026-02-21,no
104,10,16,4,325.62,1302.48,2025-11-22,1
105,31,16,9,210.67,1896.03,2025-07-12,false
106,39,17,13,99.35,1291.55,2026-02-10,true
107,27,11,9,387.47,3487.23,2025-08-04,yes
108,20,27,1,145.01,145.01,2025-05-18,no
109,31,12,5,226.04,1130.20,2025-03-26,1
110,21,28,13,230.4,2995.20,2025-04-28,false
111,50,14,19,194.57,3696.83,2025-04-04,no
112,43,26,13,196.11,2549.43,2026-02-02,no
113,38,11,2,67.49,134.98,2025-09-07,true
114,1,24,17,455.67,7746.39,2025-05-20,false
115,17,11,3,237.4,712.20,2025-09-29,0
116,44,28,3,426.62,1279.86,2025-11-09,0
117,3,20,16,436.83,6989.28,2025-06-01,0
118,48,3,10,498.73,4987.30,2026-03-01,0
119,45,10,4,224.62,898.48,2026-03-28,yes
120,24,14,2,150.22,300.44,2025-07-23,no
121,12,6,19,342.49,6507.31,2025-06-12,no
122,32,30,20,343.15,6863.00,2025-12-23,no
123,43,1,9,232.49,2092.41,2025-08-25,yes
124,29,12,18,83.20,1497.60,2025-11-18,0
125,30,28,14,346.71,4853.94,2025-10-06,no
126,37,12,4,122.42,489.68,2025-04-27,yes
127,43,13,1,489.08,489.08,2025-07-05,0
128,48,16,2,455.76,911.52,2025-11-25,false
129,15,21,20,401.96,8039.20,2025-12-13,0
130,41,21,5,315.98,1579.90,2025-09-07,true
131,9,3,19,185.61,3526.59,2025-11-04,0
132,9,26,14,91.94,1287.16,2025-10-15,1
133,11,9,17,457.18,7772.06,2025-08-17,yes
134,30,3,11,403.1,4434.10,2025-12-26,0
135,36,12,13,483.8,6289.40,2025-09-30,true
136,30,12,9,270.6,2435.40,2025-05-11,yes
137,41,12,19,193.61,3678.59,2025-12-22,no
138,36,11,1,311.68,311.68,2025-12-28,0
139,30,30,3,319.52,958.56,2025-05-23,no
140,3,10,4,74.19,296.76,2026-02-20,true
141,9,13,8,444.19,3553.52,2025-05-12,0
142,48,24,18,212.47,3824.46,2025-09-20,0
143,40,14,4,417.68,1670.72,2025-11-28,true
144,29,8,12,112.55,1350.60,2026-03-01,0
145,42,12,12,274.51,3294.12,2025-11-30,false
146,30,3,4,474.76,1899.04,2025-05-27,0
147,4,26,20,485.69,9713.80,2026-02-15,1
148,49,18,7,38.96,272.72,2025-12-31,false
149,39,1,11,388.31,4271.41,2026-02-05,false
150,12,4,18,129.07,2323.26,2026-04-07,false
151,16,19,1,182.33,182.33,2026-01-21,yes
152,27,17,2,67.75,135.50,2026-03-19,no
153,33,19,15,390.12,5851.80,2025-08-06,false
154,43,17,20,26.47,529.40,2025-05-26,true
155,26,14,2,499.3,998.60,2025-08-12,0
156,6,11,15,41.38,620.70,2026-03-18,false
157,38,18,9,314.04,2826.36,2025-10-07,1
158,33,20,17,150.97,2566.49,2025-04-26,true
159,14,14,18,361.82,6512.76,2025-12-25,no
160,26,14,11,414.57,4560.27,2025-11-11,no
161,24,5,11,334.23,3676.53,2025-08-21,true
162,6,14,3,416.73,1250.19,2025-04-07,yes
163,38,18,5,280.4,1402.00,2025-05-12,true
164,43,25,14,180.03,2520.42,2025-04-16,true
165,23,4,10,302.2,3022.00,2026-01-02,false
166,7,12,16,116.00,1856.00,2025-10-14,true
167,28,28,9,289.18,2602.62,2025-03-24,1
168,36,1,20,339.11,6782.20,2025-05-19,0
169,18,23,9,19.33,173.97,2025-10-29,yes
170,10,19,1,94.8,94.80,2026-03-16,false
171,34,7,1,50.42,50.42,2025-08-31,yes
172,47,11,6,188.18,1129.08,2025-07-04,1
173,10,6,3,442.25,1326.75,2026-03-26,0
174,43,14,3,139.69,419.07,2025-09-06,no
175,33,4,9,111.71,1005.39,2026-02-23,yes
176,43,10,19,245.88,4671.72,2025-09-30,1
177,20,7,2,8.81,17.62,2025-03-25,yes
178,1,16,10,167.42,1674.20,2026-01-21,false
179,15,17,13,268.63,3492.19,2025-05-13,yes
180,48,2,3,201.55,604.65,2025-08-28,true
181,37,13,11,290.00,3190.00,2025-09-19,yes
182,21,6,4,205.49,821.96,2025-06-08,no
183,7,8,12,48.62,583.44,2025-09-27,1
184,20,24,3,200.9,602.70,2025-11-01,false
185,8,17,3,257.69,773.07,2025-03-19,yes
186,42,27,12,365.05,4380.60,2026-02-27,false
187,39,5,9,102.65,923.85,2025-05-20,true
188,41,16,6,475.89,2855.34,2025-07-06,1
189,37,21,15,342.16,5132.40,2025-06-05,yes
190,5,16,11,79.72,876.92,2025-11-16,yes
191,33,3,19,32.81,623.39,2025-09-01,true
192,19,3,2,187.53,375.06,2026-03-05,1
193,30,19,20,256.0,5120.00,2025-04-07,true
194,37,21,15,454.98,6824.70,2025-06-15,no
195,4,15,17,79.68,1354.56,2025-10-27,0
196,12,2,3,254.75,764.25,2025-09-08,no
197,11,12,17,263.76,4483.92,2025-11-27,no
198,44,20,14,388.36,5437.04,2025-06-01,0
199,7,18,11,37.63,413.93,2025-11-26,yes
200,22,3,20,437.27,8745.40,2026-02-07,yes
